,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#363,0,0,0,30,5,5,0,5,0,15,10,-1.1,150
Exp#364,10,0,0,5,0,10,15,5,5,20,0,-1.2,120
Exp#365,0,5,15,5,0,0,0,30,0,5,10,-1.5,60
Exp#366,5,15,0,20,5,0,5,20,0,0,0,-1.5,150
Exp#367,5,0,5,10,5,20,0,5,20,0,0,-1.5,60
Exp#368,25,10,0,0,0,5,5,5,5,10,5,-1.2,150
Exp#369,15,0,0,0,0,5,5,45,0,0,0,-1.5,120
Exp#370,0,5,5,0,0,0,30,20,5,5,0,-1.4,60
Exp#371,5,5,0,0,10,0,25,0,5,20,0,-1.2,90
Exp#372,0,0,0,0,10,20,10,0,0,20,10,-1.1,150
Exp#373,0,10,0,15,0,10,5,10,5,15,0,-1.1,150
Exp#374,0,5,0,0,20,0,0,5,10,20,10,-1.3,90
Exp#375,5,5,0,5,5,0,20,0,0,30,0,-1.4,60
Exp#376,0,0,15,5,0,10,5,10,5,15,5,-1.1,90
Exp#377,0,15,5,0,0,0,0,10,5,25,10,-1.5,150
Exp#378,0,0,0,0,15,0,5,20,10,5,15,-1.3,90
Exp#379,10,0,0,10,15,0,10,15,0,5,5,-1.5,60
Exp#380,0,10,0,0,5,5,0,30,0,15,5,-1.5,60
Exp#381,5,5,10,0,5,20,0,15,0,5,5,-1.3,60
Exp#382,5,5,5,0,20,0,0,0,15,10,10,-1.5,120
Exp#383,0,10,0,0,0,5,15,0,35,5,0,-1.2,120
Exp#384,0,0,0,20,0,15,5,5,15,5,5,-1.3,60
Exp#385,0,0,0,10,5,5,0,0,35,10,5,-1.2,60
Exp#386,0,0,10,0,0,25,0,5,20,0,10,-1.2,120
Exp#387,10,15,15,0,0,0,0,15,10,0,5,-1.1,150
Exp#388,10,0,5,0,0,0,5,0,20,15,15,-1.1,60
Exp#389,0,30,0,5,0,0,5,0,25,5,0,-1.5,120
Exp#390,0,0,0,0,10,0,10,5,20,15,10,-1.3,120
Exp#391,0,0,0,5,5,5,10,15,5,0,25,-1.2,150
Exp#392,5,0,15,0,10,10,0,10,15,5,0,-1.1,60
Exp#393,0,15,5,5,5,0,5,30,5,0,0,-1.5,150
