Sept. 16, 2024   05:00:47
Amperometric i-t Curve
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp367\exp367deposition-2024-09-16t04_56_54-deposition\exp367deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.9

Results:

Channel 1:

Time/sec, Current/A

4.050e+1, 3.057e-3
4.060e+1, 3.057e-3
4.070e+1, 3.060e-3
4.080e+1, 3.060e-3
4.090e+1, 3.059e-3
4.100e+1, 3.061e-3
4.110e+1, 3.060e-3
4.120e+1, 3.061e-3
4.130e+1, 3.062e-3
4.140e+1, 3.064e-3
4.150e+1, 3.065e-3
4.160e+1, 3.064e-3
4.170e+1, 3.063e-3
4.180e+1, 3.064e-3
4.190e+1, 3.064e-3
4.200e+1, 3.065e-3
4.210e+1, 3.067e-3
4.220e+1, 3.069e-3
4.230e+1, 3.070e-3
4.240e+1, 3.071e-3
4.250e+1, 3.074e-3
4.260e+1, 3.074e-3
4.270e+1, 3.081e-3
4.280e+1, 3.088e-3
4.290e+1, 3.080e-3
4.300e+1, 3.080e-3
4.310e+1, 3.074e-3
4.320e+1, 3.078e-3
4.330e+1, 3.075e-3
4.340e+1, 3.072e-3
4.350e+1, 3.071e-3
4.360e+1, 3.072e-3
4.370e+1, 3.073e-3
4.380e+1, 3.070e-3
4.390e+1, 3.068e-3
4.400e+1, 3.067e-3
4.410e+1, 3.064e-3
4.420e+1, 3.072e-3
4.430e+1, 3.072e-3
4.440e+1, 3.069e-3
4.450e+1, 3.067e-3
4.460e+1, 3.067e-3
4.470e+1, 3.065e-3
4.480e+1, 3.065e-3
4.490e+1, 3.063e-3
4.500e+1, 3.063e-3
4.510e+1, 3.062e-3
4.520e+1, 3.062e-3
4.530e+1, 3.064e-3
4.540e+1, 3.066e-3
4.550e+1, 3.066e-3
4.560e+1, 3.064e-3
4.570e+1, 3.064e-3
4.580e+1, 3.063e-3
4.590e+1, 3.062e-3
4.600e+1, 3.062e-3
4.610e+1, 3.060e-3
4.620e+1, 3.059e-3
4.630e+1, 3.058e-3
4.640e+1, 3.058e-3
4.650e+1, 3.060e-3
4.660e+1, 3.061e-3
4.670e+1, 3.062e-3
4.680e+1, 3.062e-3
4.690e+1, 3.061e-3
4.700e+1, 3.061e-3
4.710e+1, 3.068e-3
4.720e+1, 3.068e-3
4.730e+1, 3.067e-3
4.740e+1, 3.066e-3
4.750e+1, 3.092e-3
4.760e+1, 3.103e-3
4.770e+1, 3.118e-3
4.780e+1, 3.120e-3
4.790e+1, 3.115e-3
4.800e+1, 3.150e-3
4.810e+1, 3.192e-3
4.820e+1, 3.238e-3
4.830e+1, 3.224e-3
4.840e+1, 3.215e-3
4.850e+1, 3.206e-3
4.860e+1, 3.198e-3
4.870e+1, 3.191e-3
4.880e+1, 3.182e-3
4.890e+1, 3.175e-3
4.900e+1, 3.170e-3
4.910e+1, 3.162e-3
4.920e+1, 3.154e-3
4.930e+1, 3.149e-3
4.940e+1, 3.141e-3
4.950e+1, 3.135e-3
4.960e+1, 3.128e-3
4.970e+1, 3.118e-3
4.980e+1, 3.118e-3
