Dec. 22, 2024   05:00:24
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp667_r5/2024-12-16-exp728\exp728deposition-2024-12-22t04_54_32-deposition\exp728deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 180
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.2

Results:

Channel 1:

Time/sec, Current/A

5.430e+1, 2.713e-3
5.440e+1, 2.708e-3
5.450e+1, 2.712e-3
5.460e+1, 2.701e-3
5.470e+1, 2.705e-3
5.480e+1, 2.742e-3
5.490e+1, 2.735e-3
5.500e+1, 2.736e-3
5.510e+1, 2.727e-3
5.520e+1, 2.721e-3
5.530e+1, 2.725e-3
5.540e+1, 2.708e-3
5.550e+1, 2.707e-3
5.560e+1, 2.703e-3
5.570e+1, 2.693e-3
5.580e+1, 2.694e-3
5.590e+1, 2.690e-3
5.600e+1, 2.687e-3
5.610e+1, 2.693e-3
5.620e+1, 2.706e-3
5.630e+1, 2.711e-3
5.640e+1, 2.730e-3
5.650e+1, 2.721e-3
5.660e+1, 2.721e-3
5.670e+1, 2.733e-3
5.680e+1, 2.726e-3
5.690e+1, 2.757e-3
5.700e+1, 2.774e-3
5.710e+1, 2.779e-3
5.720e+1, 2.795e-3
5.730e+1, 2.808e-3
5.740e+1, 2.824e-3
5.750e+1, 2.829e-3
5.760e+1, 2.834e-3
5.770e+1, 2.831e-3
5.780e+1, 2.820e-3
5.790e+1, 2.822e-3
5.800e+1, 2.834e-3
5.810e+1, 2.840e-3
5.820e+1, 2.831e-3
5.830e+1, 2.828e-3
5.840e+1, 2.816e-3
5.850e+1, 2.808e-3
5.860e+1, 2.799e-3
5.870e+1, 2.798e-3
5.880e+1, 2.797e-3
5.890e+1, 2.794e-3
5.900e+1, 2.792e-3
5.910e+1, 2.785e-3
5.920e+1, 2.784e-3
5.930e+1, 2.787e-3
5.940e+1, 2.787e-3
5.950e+1, 2.781e-3
5.960e+1, 2.771e-3
5.970e+1, 2.769e-3
5.980e+1, 2.765e-3
5.990e+1, 2.756e-3
6.000e+1, 2.753e-3
6.010e+1, 2.742e-3
6.020e+1, 2.737e-3
6.030e+1, 2.744e-3
6.040e+1, 2.769e-3
6.050e+1, 2.771e-3
6.060e+1, 2.769e-3
6.070e+1, 2.794e-3
6.080e+1, 2.797e-3
6.090e+1, 2.792e-3
6.100e+1, 2.793e-3
6.110e+1, 2.807e-3
6.120e+1, 2.806e-3
6.130e+1, 2.811e-3
6.140e+1, 2.822e-3
6.150e+1, 2.816e-3
6.160e+1, 2.812e-3
6.170e+1, 2.810e-3
6.180e+1, 2.802e-3
6.190e+1, 2.802e-3
6.200e+1, 2.798e-3
6.210e+1, 2.799e-3
6.220e+1, 2.798e-3
6.230e+1, 2.798e-3
6.240e+1, 2.804e-3
6.250e+1, 2.817e-3
6.260e+1, 2.814e-3
6.270e+1, 2.815e-3
6.280e+1, 2.811e-3
6.290e+1, 2.809e-3
6.300e+1, 2.799e-3
6.310e+1, 2.790e-3
6.320e+1, 2.798e-3
6.330e+1, 2.807e-3
6.340e+1, 2.807e-3
6.350e+1, 2.806e-3
6.360e+1, 2.800e-3
6.370e+1, 2.794e-3
6.380e+1, 2.792e-3
6.390e+1, 2.794e-3
6.400e+1, 2.791e-3
6.410e+1, 2.781e-3
6.420e+1, 2.779e-3
6.430e+1, 2.773e-3
6.440e+1, 2.769e-3
6.450e+1, 2.768e-3
6.460e+1, 2.772e-3
6.470e+1, 2.782e-3
6.480e+1, 2.782e-3
6.490e+1, 2.777e-3
6.500e+1, 2.781e-3
6.510e+1, 2.777e-3
6.520e+1, 2.769e-3
6.530e+1, 2.756e-3
6.540e+1, 2.753e-3
6.550e+1, 2.755e-3
6.560e+1, 2.793e-3
6.570e+1, 2.806e-3
6.580e+1, 2.804e-3
6.590e+1, 2.802e-3
6.600e+1, 2.794e-3
6.610e+1, 2.795e-3
6.620e+1, 2.796e-3
6.630e+1, 2.796e-3
6.640e+1, 2.802e-3
6.650e+1, 2.795e-3
6.660e+1, 2.795e-3
6.670e+1, 2.793e-3
6.680e+1, 2.784e-3
6.690e+1, 2.777e-3
6.700e+1, 2.774e-3
6.710e+1, 2.768e-3
6.720e+1, 2.774e-3
6.730e+1, 2.771e-3
6.740e+1, 2.766e-3
6.750e+1, 2.760e-3
6.760e+1, 2.767e-3
6.770e+1, 2.773e-3
6.780e+1, 2.776e-3
6.790e+1, 2.770e-3
6.800e+1, 2.758e-3
6.810e+1, 2.749e-3
6.820e+1, 2.744e-3
6.830e+1, 2.745e-3
6.840e+1, 2.728e-3
6.850e+1, 2.723e-3
6.860e+1, 2.734e-3
6.870e+1, 2.727e-3
6.880e+1, 2.714e-3
6.890e+1, 2.702e-3
6.900e+1, 2.703e-3
