Oct. 19, 2024   23:00:18
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround2/2024-10-18-exp579\exp579deposition-2024-10-19t22_56_30-deposition\exp579deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.1

Results:

Channel 1:

Time/sec, Current/A

3.170e+1, 3.577e-3
3.180e+1, 3.686e-3
3.190e+1, 3.791e-3
3.200e+1, 3.831e-3
3.210e+1, 3.756e-3
3.220e+1, 3.676e-3
3.230e+1, 3.625e-3
3.240e+1, 3.608e-3
3.250e+1, 3.620e-3
3.260e+1, 3.612e-3
3.270e+1, 3.636e-3
3.280e+1, 3.651e-3
3.290e+1, 3.583e-3
3.300e+1, 3.537e-3
3.310e+1, 3.563e-3
3.320e+1, 3.591e-3
3.330e+1, 3.616e-3
3.340e+1, 3.629e-3
3.350e+1, 3.674e-3
3.360e+1, 3.657e-3
3.370e+1, 3.674e-3
3.380e+1, 3.725e-3
3.390e+1, 3.748e-3
3.400e+1, 3.738e-3
3.410e+1, 3.713e-3
3.420e+1, 3.698e-3
3.430e+1, 3.632e-3
3.440e+1, 3.563e-3
3.450e+1, 3.516e-3
3.460e+1, 3.487e-3
3.470e+1, 3.507e-3
3.480e+1, 3.539e-3
3.490e+1, 3.550e-3
3.500e+1, 3.499e-3
3.510e+1, 3.462e-3
3.520e+1, 3.465e-3
3.530e+1, 3.436e-3
3.540e+1, 3.412e-3
3.550e+1, 3.405e-3
3.560e+1, 3.464e-3
3.570e+1, 3.597e-3
3.580e+1, 3.664e-3
3.590e+1, 3.613e-3
3.600e+1, 3.574e-3
3.610e+1, 3.540e-3
3.620e+1, 3.500e-3
3.630e+1, 3.528e-3
3.640e+1, 3.546e-3
3.650e+1, 3.568e-3
3.660e+1, 3.633e-3
3.670e+1, 3.706e-3
3.680e+1, 3.720e-3
3.690e+1, 3.757e-3
3.700e+1, 3.787e-3
3.710e+1, 3.837e-3
3.720e+1, 3.858e-3
3.730e+1, 3.839e-3
3.740e+1, 3.808e-3
3.750e+1, 3.823e-3
3.760e+1, 3.843e-3
3.770e+1, 3.858e-3
3.780e+1, 3.860e-3
3.790e+1, 3.866e-3
3.800e+1, 3.884e-3
3.810e+1, 3.873e-3
3.820e+1, 3.843e-3
3.830e+1, 3.873e-3
3.840e+1, 3.883e-3
3.850e+1, 3.899e-3
3.860e+1, 3.862e-3
3.870e+1, 3.776e-3
3.880e+1, 3.749e-3
3.890e+1, 3.801e-3
3.900e+1, 3.786e-3
3.910e+1, 3.763e-3
3.920e+1, 3.747e-3
3.930e+1, 3.686e-3
3.940e+1, 3.664e-3
3.950e+1, 3.653e-3
3.960e+1, 3.636e-3
3.970e+1, 3.646e-3
3.980e+1, 3.672e-3
3.990e+1, 3.707e-3
4.000e+1, 3.700e-3
4.010e+1, 3.686e-3
4.020e+1, 3.635e-3
4.030e+1, 3.569e-3
4.040e+1, 3.549e-3
4.050e+1, 3.511e-3
4.060e+1, 3.532e-3
4.070e+1, 3.603e-3
4.080e+1, 3.578e-3
4.090e+1, 3.616e-3
4.100e+1, 3.581e-3
4.110e+1, 3.517e-3
4.120e+1, 3.433e-3
4.130e+1, 3.364e-3
4.140e+1, 3.323e-3
4.150e+1, 3.352e-3
4.160e+1, 3.401e-3
4.170e+1, 3.471e-3
4.180e+1, 3.443e-3
4.190e+1, 3.397e-3
4.200e+1, 3.375e-3
4.210e+1, 3.362e-3
4.220e+1, 3.430e-3
4.230e+1, 3.488e-3
4.240e+1, 3.535e-3
4.250e+1, 3.559e-3
4.260e+1, 3.530e-3
4.270e+1, 3.449e-3
4.280e+1, 3.471e-3
4.290e+1, 3.480e-3
4.300e+1, 3.559e-3
4.310e+1, 3.633e-3
4.320e+1, 3.596e-3
4.330e+1, 3.558e-3
4.340e+1, 3.559e-3
4.350e+1, 3.612e-3
4.360e+1, 3.609e-3
4.370e+1, 3.613e-3
4.380e+1, 3.618e-3
4.390e+1, 3.580e-3
4.400e+1, 3.545e-3
4.410e+1, 3.504e-3
4.420e+1, 3.539e-3
4.430e+1, 3.607e-3
4.440e+1, 3.606e-3
4.450e+1, 3.566e-3
4.460e+1, 3.536e-3
4.470e+1, 3.505e-3
4.480e+1, 3.512e-3
4.490e+1, 3.500e-3
4.500e+1, 3.498e-3
4.510e+1, 3.526e-3
4.520e+1, 3.503e-3
4.530e+1, 3.514e-3
4.540e+1, 3.575e-3
4.550e+1, 3.558e-3
4.560e+1, 3.598e-3
4.570e+1, 3.653e-3
4.580e+1, 3.657e-3
4.590e+1, 3.621e-3
4.600e+1, 3.579e-3
4.610e+1, 3.571e-3
4.620e+1, 3.594e-3
4.630e+1, 3.610e-3
4.640e+1, 3.672e-3
4.650e+1, 3.747e-3
4.660e+1, 3.686e-3
4.670e+1, 3.628e-3
4.680e+1, 3.615e-3
4.690e+1, 3.604e-3
4.700e+1, 3.592e-3
4.710e+1, 3.634e-3
4.720e+1, 3.800e-3
4.730e+1, 3.904e-3
4.740e+1, 3.897e-3
4.750e+1, 3.869e-3
4.760e+1, 3.826e-3
4.770e+1, 3.796e-3
4.780e+1, 3.791e-3
4.790e+1, 3.762e-3
4.800e+1, 3.752e-3
4.810e+1, 3.821e-3
4.820e+1, 3.799e-3
4.830e+1, 3.758e-3
4.840e+1, 3.788e-3
4.850e+1, 3.814e-3
4.860e+1, 3.856e-3
4.870e+1, 3.959e-3
4.880e+1, 4.018e-3
4.890e+1, 4.017e-3
4.900e+1, 4.045e-3
4.910e+1, 4.076e-3
4.920e+1, 4.068e-3
4.930e+1, 4.034e-3
4.940e+1, 4.006e-3
4.950e+1, 4.000e-3
4.960e+1, 4.012e-3
4.970e+1, 4.010e-3
4.980e+1, 3.989e-3
4.990e+1, 3.969e-3
5.000e+1, 3.958e-3
5.010e+1, 3.946e-3
5.020e+1, 3.936e-3
5.030e+1, 3.908e-3
5.040e+1, 3.881e-3
5.050e+1, 3.937e-3
5.060e+1, 3.989e-3
5.070e+1, 4.012e-3
5.080e+1, 4.008e-3
5.090e+1, 4.019e-3
5.100e+1, 4.008e-3
5.110e+1, 3.987e-3
5.120e+1, 3.961e-3
5.130e+1, 3.936e-3
5.140e+1, 3.937e-3
5.150e+1, 3.996e-3
5.160e+1, 4.093e-3
5.170e+1, 4.079e-3
5.180e+1, 4.029e-3
5.190e+1, 4.031e-3
5.200e+1, 4.041e-3
5.210e+1, 4.049e-3
5.220e+1, 4.047e-3
5.230e+1, 4.055e-3
5.240e+1, 4.069e-3
5.250e+1, 4.023e-3
5.260e+1, 3.975e-3
5.270e+1, 3.949e-3
5.280e+1, 3.951e-3
5.290e+1, 3.952e-3
5.300e+1, 3.956e-3
5.310e+1, 3.962e-3
5.320e+1, 3.964e-3
5.330e+1, 3.931e-3
5.340e+1, 3.935e-3
5.350e+1, 3.978e-3
5.360e+1, 3.988e-3
5.370e+1, 4.007e-3
5.380e+1, 4.029e-3
5.390e+1, 4.016e-3
5.400e+1, 3.974e-3
5.410e+1, 3.917e-3
5.420e+1, 3.896e-3
5.430e+1, 3.874e-3
5.440e+1, 3.871e-3
5.450e+1, 3.866e-3
5.460e+1, 3.878e-3
5.470e+1, 3.904e-3
5.480e+1, 3.914e-3
5.490e+1, 3.907e-3
5.500e+1, 3.895e-3
5.510e+1, 3.951e-3
5.520e+1, 3.944e-3
5.530e+1, 3.941e-3
5.540e+1, 3.976e-3
5.550e+1, 3.999e-3
5.560e+1, 3.999e-3
5.570e+1, 3.946e-3
5.580e+1, 3.879e-3
5.590e+1, 3.844e-3
5.600e+1, 3.833e-3
5.610e+1, 3.812e-3
5.620e+1, 3.770e-3
5.630e+1, 3.726e-3
5.640e+1, 3.712e-3
5.650e+1, 3.736e-3
5.660e+1, 3.753e-3
5.670e+1, 3.735e-3
5.680e+1, 3.712e-3
5.690e+1, 3.707e-3
5.700e+1, 3.718e-3
5.710e+1, 3.723e-3
5.720e+1, 3.717e-3
5.730e+1, 3.697e-3
5.740e+1, 3.685e-3
5.750e+1, 3.681e-3
5.760e+1, 3.729e-3
5.770e+1, 3.729e-3
5.780e+1, 3.727e-3
5.790e+1, 3.738e-3
5.800e+1, 3.741e-3
5.810e+1, 3.777e-3
5.820e+1, 3.823e-3
5.830e+1, 3.789e-3
5.840e+1, 3.724e-3
5.850e+1, 3.694e-3
5.860e+1, 3.644e-3
5.870e+1, 3.602e-3
5.880e+1, 3.585e-3
5.890e+1, 3.582e-3
5.900e+1, 3.595e-3
5.910e+1, 3.624e-3
5.920e+1, 3.611e-3
5.930e+1, 3.582e-3
5.940e+1, 3.580e-3
5.950e+1, 3.582e-3
5.960e+1, 3.605e-3
5.970e+1, 3.638e-3
5.980e+1, 3.698e-3
5.990e+1, 3.700e-3
6.000e+1, 3.690e-3
