May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

2.980e+1, 5.681e-3
2.990e+1, 5.670e-3
3.000e+1, 5.667e-3
3.010e+1, 5.684e-3
3.020e+1, 5.691e-3
3.030e+1, 5.679e-3
3.040e+1, 5.667e-3
3.050e+1, 5.655e-3
3.060e+1, 5.650e-3
3.070e+1, 5.655e-3
3.080e+1, 5.643e-3
3.090e+1, 5.707e-3
3.100e+1, 5.737e-3
3.110e+1, 5.778e-3
3.120e+1, 5.788e-3
3.130e+1, 5.768e-3
3.140e+1, 5.758e-3
3.150e+1, 5.743e-3
3.160e+1, 5.746e-3
3.170e+1, 5.743e-3
3.180e+1, 5.739e-3
3.190e+1, 5.752e-3
3.200e+1, 5.755e-3
3.210e+1, 5.813e-3
3.220e+1, 5.857e-3
3.230e+1, 5.882e-3
3.240e+1, 5.884e-3
3.250e+1, 5.871e-3
3.260e+1, 5.859e-3
3.270e+1, 5.850e-3
3.280e+1, 5.845e-3
3.290e+1, 5.858e-3
3.300e+1, 5.863e-3
3.310e+1, 5.867e-3
3.320e+1, 5.900e-3
3.330e+1, 5.957e-3
3.340e+1, 5.984e-3
3.350e+1, 6.026e-3
3.360e+1, 6.189e-3
3.370e+1, 6.253e-3
3.380e+1, 6.293e-3
3.390e+1, 6.266e-3
3.400e+1, 6.225e-3
3.410e+1, 6.202e-3
3.420e+1, 6.189e-3
3.430e+1, 6.200e-3
3.440e+1, 6.232e-3
3.450e+1, 6.245e-3
3.460e+1, 6.267e-3
3.470e+1, 6.295e-3
3.480e+1, 6.310e-3
3.490e+1, 6.305e-3
3.500e+1, 6.297e-3
3.510e+1, 6.289e-3
3.520e+1, 6.284e-3
3.530e+1, 6.279e-3
3.540e+1, 6.331e-3
3.550e+1, 6.359e-3
3.560e+1, 6.375e-3
3.570e+1, 6.371e-3
3.580e+1, 6.369e-3
3.590e+1, 6.370e-3
3.600e+1, 6.366e-3
3.610e+1, 6.334e-3
3.620e+1, 6.312e-3
3.630e+1, 6.297e-3
3.640e+1, 6.277e-3
3.650e+1, 6.294e-3
3.660e+1, 6.311e-3
3.670e+1, 6.325e-3
3.680e+1, 6.339e-3
3.690e+1, 6.365e-3
3.700e+1, 6.383e-3
3.710e+1, 6.431e-3
3.720e+1, 6.437e-3
3.730e+1, 6.453e-3
3.740e+1, 6.471e-3
3.750e+1, 6.583e-3
3.760e+1, 6.594e-3
3.770e+1, 6.612e-3
3.780e+1, 6.663e-3
3.790e+1, 6.656e-3
3.800e+1, 6.649e-3
3.810e+1, 6.628e-3
3.820e+1, 6.635e-3
3.830e+1, 6.636e-3
3.840e+1, 6.636e-3
3.850e+1, 6.630e-3
3.860e+1, 6.677e-3
3.870e+1, 6.690e-3
3.880e+1, 6.754e-3
3.890e+1, 6.785e-3
3.900e+1, 6.781e-3
3.910e+1, 6.776e-3
3.920e+1, 6.793e-3
3.930e+1, 6.801e-3
3.940e+1, 6.827e-3
3.950e+1, 6.814e-3
3.960e+1, 6.821e-3
3.970e+1, 6.801e-3
3.980e+1, 6.802e-3
3.990e+1, 6.815e-3
4.000e+1, 6.813e-3
4.010e+1, 6.818e-3
4.020e+1, 6.856e-3
4.030e+1, 6.844e-3
4.040e+1, 6.858e-3
4.050e+1, 6.892e-3
4.060e+1, 6.914e-3
4.070e+1, 6.933e-3
4.080e+1, 6.968e-3
4.090e+1, 6.986e-3
4.100e+1, 7.017e-3
4.110e+1, 7.082e-3
4.120e+1, 7.148e-3
