June 26, 2026   07:32:22
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp13\exp13deposition-2026-06-26t07_28_36-deposition\exp13deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.6

Results:

Channel 1:

Time/sec, Current/A

4.150e+1, 2.324e-3
4.160e+1, 2.364e-3
4.170e+1, 2.390e-3
4.180e+1, 2.391e-3
4.190e+1, 2.371e-3
4.200e+1, 2.336e-3
4.210e+1, 2.286e-3
4.220e+1, 2.229e-3
4.230e+1, 2.164e-3
4.240e+1, 2.112e-3
4.250e+1, 2.064e-3
4.260e+1, 2.038e-3
4.270e+1, 2.003e-3
4.280e+1, 1.981e-3
4.290e+1, 1.960e-3
4.300e+1, 1.961e-3
4.310e+1, 1.970e-3
4.320e+1, 1.982e-3
4.330e+1, 1.980e-3
4.340e+1, 2.004e-3
4.350e+1, 2.065e-3
4.360e+1, 2.080e-3
4.370e+1, 2.072e-3
4.380e+1, 2.081e-3
4.390e+1, 2.123e-3
4.400e+1, 2.194e-3
4.410e+1, 2.229e-3
4.420e+1, 2.261e-3
4.430e+1, 2.317e-3
4.440e+1, 2.333e-3
4.450e+1, 2.352e-3
4.460e+1, 2.329e-3
4.470e+1, 2.280e-3
4.480e+1, 2.220e-3
4.490e+1, 2.212e-3
4.500e+1, 2.203e-3
4.510e+1, 2.174e-3
4.520e+1, 2.155e-3
4.530e+1, 2.158e-3
4.540e+1, 2.182e-3
4.550e+1, 2.183e-3
4.560e+1, 2.228e-3
4.570e+1, 2.244e-3
4.580e+1, 2.253e-3
4.590e+1, 2.263e-3
4.600e+1, 2.259e-3
4.610e+1, 2.238e-3
4.620e+1, 2.200e-3
4.630e+1, 2.152e-3
4.640e+1, 2.141e-3
4.650e+1, 2.141e-3
4.660e+1, 2.140e-3
4.670e+1, 2.169e-3
4.680e+1, 2.225e-3
4.690e+1, 2.226e-3
4.700e+1, 2.308e-3
4.710e+1, 2.393e-3
4.720e+1, 2.418e-3
4.730e+1, 2.423e-3
4.740e+1, 2.433e-3
4.750e+1, 2.424e-3
4.760e+1, 2.422e-3
4.770e+1, 2.432e-3
4.780e+1, 2.455e-3
4.790e+1, 2.463e-3
4.800e+1, 2.413e-3
4.810e+1, 2.347e-3
4.820e+1, 2.311e-3
4.830e+1, 2.309e-3
4.840e+1, 2.337e-3
4.850e+1, 2.338e-3
4.860e+1, 2.297e-3
4.870e+1, 2.255e-3
4.880e+1, 2.205e-3
4.890e+1, 2.186e-3
4.900e+1, 2.191e-3
4.910e+1, 2.221e-3
4.920e+1, 2.265e-3
4.930e+1, 2.259e-3
4.940e+1, 2.270e-3
4.950e+1, 2.320e-3
4.960e+1, 2.362e-3
4.970e+1, 2.363e-3
4.980e+1, 2.383e-3
4.990e+1, 2.372e-3
5.000e+1, 2.354e-3
5.010e+1, 2.329e-3
5.020e+1, 2.326e-3
5.030e+1, 2.318e-3
5.040e+1, 2.305e-3
5.050e+1, 2.293e-3
5.060e+1, 2.320e-3
5.070e+1, 2.317e-3
5.080e+1, 2.325e-3
5.090e+1, 2.394e-3
5.100e+1, 2.455e-3
5.110e+1, 2.486e-3
5.120e+1, 2.479e-3
5.130e+1, 2.428e-3
5.140e+1, 2.384e-3
5.150e+1, 2.353e-3
5.160e+1, 2.348e-3
5.170e+1, 2.349e-3
5.180e+1, 2.336e-3
5.190e+1, 2.308e-3
5.200e+1, 2.267e-3
5.210e+1, 2.228e-3
5.220e+1, 2.181e-3
5.230e+1, 2.143e-3
5.240e+1, 2.118e-3
5.250e+1, 2.115e-3
5.260e+1, 2.138e-3
5.270e+1, 2.151e-3
5.280e+1, 2.145e-3
5.290e+1, 2.187e-3
5.300e+1, 2.216e-3
5.310e+1, 2.229e-3
5.320e+1, 2.238e-3
5.330e+1, 2.267e-3
5.340e+1, 2.296e-3
5.350e+1, 2.306e-3
5.360e+1, 2.295e-3
5.370e+1, 2.309e-3
5.380e+1, 2.308e-3
5.390e+1, 2.305e-3
5.400e+1, 2.298e-3
5.410e+1, 2.284e-3
5.420e+1, 2.259e-3
5.430e+1, 2.260e-3
5.440e+1, 2.317e-3
5.450e+1, 2.351e-3
5.460e+1, 2.355e-3
5.470e+1, 2.398e-3
5.480e+1, 2.425e-3
