Experiment,Overpotential @ 50 mA_Ar,Cdl mF cm-2_Ar
exp520,-0.8437,0.1541520893643317
exp521,-0.9497,0.11451716051181796
exp522,-0.4667,4.6506705653343
exp523,-0.7797,0.49642804567048726
exp524,-0.6727,0.2062091329003321
exp525,-0.4647,8.071296541201942
exp526,-0.7157000000000001,0.3387870865380427
exp527,-0.8607000000000001,0.1208746334650988
exp528,-0.8247000000000001,0.1857318356397419
exp529,-0.7137000000000001,0.4820362133883099
exp530,-0.8277,0.21895828145324228
exp531,-0.4687,6.716747229660027
exp532,-0.6837000000000001,1.0844381982175015
exp533,-0.4747,3.3916017425629787
exp534,-0.7177000000000001,0.17196209654123573
exp535,-0.7407,4.721479194356338
exp536,-0.7347,0.42231754648538716
exp537,-0.6466999999999999,2.1571044973522127
exp538,-0.4587,6.906798976001486
exp539,-0.7616999999999999,0.668081383392076
exp540,-0.6747,0.20065074983618778
exp541,-0.7347,0.15650173900843567
exp542,-0.7117000000000001,0.09418922764739351
exp543,-0.7027,0.22649385038109834
exp544,-0.6277,0.3241366094024906
exp545,-0.7967000000000001,0.5657876829801466
exp546,-0.7347,0.15130720214801383
exp547,-0.8367000000000001,0.10299857929980102
exp548,,
exp549,,
exp550,,
exp551,-0.3377,79.09240615789747
exp552,-0.4857000000000001,10.80036379845892
exp553,-0.6366999999999999,1.3962693241052266
exp554,-0.7317000000000001,0.22830776436396055
exp555,-0.6517000000000001,5.865046085529506
exp556,-0.8457,0.19054015767168778
exp557,-0.7736999999999999,0.34204474753815156
exp558,-0.6157,3.2840398272708087
exp559,-0.4397000000000001,4.697650374137874
exp560,-0.8477,0.12605603688549083
exp561,-0.8706999999999999,0.10995116961860264
exp562,-0.7467,0.31728206413795373
exp563,-0.4667,5.6097449061579026
exp564,-0.3367000000000001,17.964164048887866
exp565,-0.4617000000000001,9.256214959892269
exp566,-0.3826999999999999,5.269376399355312
exp567,-0.6177,2.569765158493902
exp568,-0.5667000000000001,6.764771637053307
exp569,-0.5527000000000001,3.988722762477211
exp571,-0.4747,4.4769016984466905
exp572,-0.9207,0.14637342791269348
exp573,-0.4477000000000001,3.6980076834620967
exp574,-0.4297000000000001,4.850061124344666
exp575,,
exp576,-0.7927000000000001,0.18383387993862446
exp577,-0.5116999999999999,4.661590111031829
exp578,-0.7827000000000001,0.18701984233920177
exp579,-0.5187,2.708678324066814
exp580,-0.5717,2.0745110383611016
exp581,-0.3367000000000001,19.343949838737437
exp582,-0.6457,0.2159224439296224
exp583,-0.6206999999999999,1.3941638231579891
exp584,-0.4377000000000001,5.77691621784261
exp590,-0.9377,0.2488562267119875
exp597,-1.0566999999999998,0.05487130263698452
exp598,-1.0837,0.0560108121234901
exp600,-1.1246999999999998,0.0631685278945816
exp601,-1.1877,0.07067079300833053
exp602,-1.2386999999999997,0.06731067960152819
exp603,-1.2227,0.06835717713258214
exp604,,
exp610,-0.5727000000000001,2.1717549835303425
exp611,-0.4146999999999999,85.66874023917585
exp612,-0.4887,17.763162102510055
exp613,-0.3846999999999999,4.140447633156386
exp614,-0.6377,0.983466450342165
exp615,-0.4126999999999999,10.560190309224696
exp616,-0.2307,15.304155681844852
exp617,-0.7367,0.764279671989999
exp618,-0.4046999999999999,5.884874017191721
exp619,-0.5187,0.45776570845625414
exp620,-0.3757,6.5775566377996
exp621,-0.3746999999999999,40.35536730403575
exp622,-0.5067,22.221262382728597
exp623,-0.4097,4.077363897514024
exp624,-0.4457000000000001,70.74052032589688
exp625,-0.3467000000000001,53.45640144298529
exp626,-0.4967,14.249985885214207
exp627,-0.4407,6.977620264632469
exp628,-0.4177,69.56024689858093
exp629,-0.4667,9.27469012191269
exp630,-0.3467000000000001,91.11543299912319
exp631,-0.3797,7.5352031555854895
exp632,-0.6597000000000001,0.38042868186648016
exp633,-0.3497,15.338492067915396
exp634,-0.3926999999999999,8.25568908064085
exp635,-0.4066999999999999,5.709874365037083
exp636,-0.6007000000000001,2.183121802254556
