Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp155,-0.4597000000000001,-0.5627000000000001,-0.6767
exp156,-0.0407000000000001,-0.2836999999999999,-0.4157
exp157,-0.1237000000000001,-0.2427,-0.3677
exp158,-0.5067,-0.6507,-0.7456999999999999
exp159,-0.3746999999999999,-0.4657000000000001,-0.5757
exp160,-0.3387000000000001,-0.4206999999999999,-0.5267000000000001
exp161,-0.1747,-0.2527,-0.3737
exp162,-0.0647000000000002,-0.1987,-0.3197
exp163,-0.4487,-0.5647000000000001,-0.6827
exp164,-0.3597,-0.4896999999999999,-0.6077
exp165,-0.2987000000000001,-0.3677,-0.4577000000000001
exp166,-0.4427,-0.5216999999999999,-0.6177
exp167,-0.3766999999999999,-0.4907,-0.6406999999999999
exp168,-0.0817000000000001,-0.2536999999999999,-0.3407000000000001
exp169,-0.1107000000000002,-0.1807,-0.2696999999999999
exp170,-0.2107,-0.2747,-0.3457
exp171,-0.1597000000000001,-0.2396999999999999,-0.3427000000000001
exp172,-0.4677000000000001,-0.6087000000000001,-0.7847000000000001
exp173,-0.3127000000000001,-0.4417000000000001,-0.6206999999999999
exp174,-0.2727,-0.3557,-0.4827
exp175,-0.5927000000000001,-0.7287,-0.8107000000000001
exp176,-0.6446999999999999,-0.7427,-0.8677
exp177,-0.5697,-0.6577000000000001,-0.7707
exp178,-0.3527000000000001,-0.4757000000000001,-0.6126999999999999
exp179,-0.5897,-0.6927,-0.7847000000000001
exp181,0.0022999999999999,-0.3036999999999999,-0.4137
exp182,-0.2516999999999999,-0.3427000000000001,-0.4697000000000001
exp183,-0.4627,-0.5617,-0.6637000000000001
exp184,-0.2177000000000001,-0.3027000000000001,-0.4137
exp185,-0.5737,-0.6537000000000001,-0.7107
exp186,-0.4286999999999999,-0.5887000000000001,-0.6807
exp187,-0.5547000000000001,-0.6737000000000001,-0.7807000000000001
exp188,-0.2157000000000001,-0.2936999999999999,-0.3737
exp189,-0.4357000000000001,-0.5847000000000001,-0.6747
exp190,-0.1757000000000002,-0.2787,-0.3786999999999999
exp191,-0.2667,-0.3637,-0.4827
exp192,-0.4217000000000001,-0.4927,-0.5907000000000001
exp193,-0.5227,-0.5987000000000001,-0.6907
exp194,-0.5887000000000001,-0.6637000000000001,-0.7337000000000001
exp195,-0.3966999999999999,-0.5847000000000001,-0.7807000000000001
exp196,-0.1817000000000002,-0.2676999999999999,-0.3527000000000001
exp197,-0.3897,-0.5047,-0.6286999999999999
exp198,-0.3427000000000001,-0.5297,-0.6797000000000001
exp199,-0.5227,-0.6406999999999999,-0.7436999999999999
exp200,-0.5176999999999999,-0.6386999999999999,-0.7496999999999999
exp201,-0.3417,-0.4577000000000001,-0.5777
exp202,-0.5867000000000001,-0.7147,-0.8097
exp203,-0.2627,-0.3917,-0.5547000000000001
exp204,-0.0477,-0.1537000000000001,-0.3677
exp205,-0.3826999999999999,-0.4647,-0.6177
exp206,-0.5707000000000001,-0.6717000000000001,-0.7676999999999999
exp207,-0.0007000000000001,-0.2416999999999999,-0.3487000000000001
exp208,-0.3686999999999999,-0.5557,-0.6557000000000001
exp209,-0.0387000000000001,-0.2667,-0.4177
exp210,-0.2687,-0.4257000000000001,-0.5507000000000001
exp211,-0.5307000000000001,-0.6337,-0.7467
exp212,-0.1747,-0.2407,-0.3397
exp213,-0.2277000000000001,-0.3417,-0.5717
exp215,-0.5076999999999999,-0.6326999999999999,-0.7367
exp216,-0.3367000000000001,-0.4987,-0.6977000000000001
exp218,-0.4266999999999999,-0.6007000000000001,-0.7167
exp220,-0.4817000000000001,-0.5847000000000001,-0.6807
exp221,-0.6577000000000001,-0.7287,-0.7857
exp222,-0.5927000000000001,-0.7257000000000001,-0.8217
