Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp28,0,0,0,0,5,5,15,5,40,0,0,-1.3,150,152.6084305476799,0.0007843897415372,0.9996841715561816,-0.7487,0.5504809859722001
exp29,20,5,10,0,5,0,10,10,5,5,0,-1.1,150,105.09596639654023,3.293667068635313e-05,0.9998374005476728,-0.6817,0.8130207760161
exp30,0,15,0,0,10,0,5,0,20,15,5,-1.3,150,118.746237429955,0.0001163842908549,0.996565769638678,-0.7317,0.145024854027
exp31,0,0,15,0,0,0,10,5,10,30,0,-1.2,60,138.04813008743938,0.0001997089408476,0.9979895425512916,-0.7707,0.2821849440805999
exp32,0,5,10,0,5,0,20,5,20,0,5,-1.2,60,188.2995908726549,0.0208543696892099,0.9941906499001216,-0.6617,3.5106422157134
exp33,25,0,5,0,0,0,0,20,0,10,10,-1.5,150,134.79641520707804,2.385704250622445e-05,0.9994766022738492,-0.8677,0.1570114908222999
exp34,0,0,15,5,15,5,0,15,10,5,0,-1.3,150,210.7362805037925,0.071465092010742,0.9991006874148076,-0.5847,4.0787607949355005
exp35,10,5,10,5,15,0,0,5,0,15,5,-1.3,90,119.3349664181542,0.0001644002232185,0.9990862817159442,-0.6617,1.5254693142875002
exp36,10,10,0,0,0,5,0,35,10,0,0,-1.1,60,125.07673956876071,8.042792683789095e-06,0.9990516384440672,-0.8847,0.1482189547476
exp37,10,5,10,15,5,0,0,10,5,10,0,-1.2,150,146.73448834265685,0.0004121115152361,0.9965425603779856,-0.7987,0.2455359458604
exp38,15,10,0,0,5,0,5,0,5,15,15,-1.2,60,117.02474857984988,0.0005265756089635,0.99875641255817,-0.5907,0.7400258415714
exp39,0,15,0,0,10,10,5,20,5,0,5,-1.5,90,122.41776886084254,0.021883460474752,0.9930414011790468,-0.4177,8.7320842717505
exp40,0,15,5,5,5,0,5,5,5,10,15,-1.5,120,133.11919325481227,0.0020480368520459,0.9983670041928888,-0.5947,3.0019242397620003
exp41,5,0,0,10,15,0,0,20,0,5,15,-1.4,60,130.38809944512624,0.011271772424315,0.9972979566795672,-0.4767,9.7556670967777
exp42,10,0,0,10,0,0,0,0,0,50,0,-1.4,60,156.58933093262615,0.0007627539606292,0.9978843961903938,-0.7997,0.1620027098417
exp43,0,0,0,0,20,20,0,0,20,10,0,-1.3,60,153.0709741207512,0.0596688671508183,0.9875934993266928,-0.4737,6.5689424068913
exp44,0,0,0,5,15,5,5,5,35,0,0,-1.1,150,358.1962053533785,2.1699777900742805,0.4011251430545115,-0.4587,22.8380168284561
exp45,0,5,10,5,20,5,5,0,15,5,0,-1.2,120,399.878059695433,3.210926423688688,0.4973524689562471,-0.3767,40.554094228259906
exp46,5,0,5,5,5,10,10,5,15,0,10,-1.5,120,142.88147147299475,0.000174970110931,0.999575692065471,-0.8117,0.2458569483304
exp47,15,0,5,10,0,20,0,5,5,10,0,-1.4,60,159.74898337005334,0.0023439391040684,0.990323145066545,-0.6977,0.4807632716235
exp48,5,10,10,0,0,5,0,35,0,5,0,-1.4,90,130.25405339341256,3.938214507577711e-05,0.9995199504422002,-0.8267,0.2107225547672999
exp49,0,0,35,0,0,0,15,5,0,15,0,-1.5,60,124.97720625928967,0.000137837628561,0.997914979320368,-0.7167,0.473283296464
exp50,10,0,10,0,0,0,20,10,0,15,5,-1.5,60,100.92745620817044,1.217953206538913e-05,0.9960418356227976,-0.6817,1.927544598195
exp51,0,10,15,15,0,0,0,0,20,5,5,-1.4,120,109.3260593175331,1.0361040727885772e-06,0.999861577998282,-0.8827,0.1128110693226
exp52,0,10,5,0,15,0,5,5,5,15,10,-1.3,150,112.40817328623666,0.0055567214522244,0.9968014070433436,-0.4437,11.9635123919002
exp53,0,0,15,0,10,5,10,5,15,10,0,-1.4,120,141.34642661150963,0.0011539723883757,0.9995556022236474,-0.6797,0.8892594278058
exp54,10,0,10,0,5,0,5,5,10,10,15,-1.1,90,118.6173716029403,8.538188368614499e-05,0.9983879316493836,-0.7127,0.4129544092821
exp55,25,5,5,0,0,10,0,0,0,20,5,-1.4,120,129.20429660822433,0.000278128513324,0.9989024987827912,-0.6987,0.1615156440471
exp56,0,0,0,10,10,0,0,20,5,5,20,-1.1,90,127.7863908026031,0.0003638490982928,0.9999235602870488,-0.6797,1.6482152549768
exp57,5,10,0,10,5,5,5,0,30,0,0,-1.4,90,138.57979526092947,3.345536697227652e-05,0.9985453012711116,-0.8787,0.0980963383418512
exp58,0,0,5,5,10,0,25,0,20,0,5,-1.5,120,154.20020829256828,0.0007100529586379,0.9997077533800928,-0.7677,0.5098244890714
exp59,0,5,10,20,5,0,0,0,0,30,0,-1.3,150,59.62540867312936,251380.05682464983,0.08669580471601,-0.2777,145.8108077633398
exp60,20,5,0,0,15,5,0,20,0,0,5,-1.2,120,151.7458627914369,0.0041870482259712,0.9997179643286322,-0.6227,2.1057405755444
exp61,10,0,5,25,0,0,0,5,0,20,5,-1.1,120,136.57809672739364,0.0001215933912265,0.9986247920197516,-0.7957,0.1874330791029
exp62,0,0,0,10,0,0,10,0,5,45,0,-1.2,60,139.3759292615743,0.000144870157173,0.9993161420017236,-0.7847,0.8584997158383
exp63,10,0,10,10,0,0,20,0,10,10,0,-1.1,150,143.13358742114215,0.0002323314421786,0.9989131300117192,-0.7757,2.7289745708343
exp64,0,5,15,5,0,5,0,15,10,10,5,-1.4,120,172.73030826454138,0.0093484698108616,0.999987382467292,-0.6417,5.0127005673035
exp65,30,0,10,5,0,5,0,5,0,15,0,-1.1,150,134.6728093973938,0.0003637255818117,0.9989272141460206,-0.7057,0.4111102840468
exp66,5,0,0,5,0,5,5,5,20,0,25,-1.5,120,186.199421473313,0.0016827272441424,0.9959341104030548,-0.8447,0.7943117819758
exp67,0,0,10,10,20,10,0,0,5,15,0,-1.3,120,231.2699607582911,1.773820319558909,0.1363674871740729,-0.4187,70.18666153019309
exp68,0,20,0,0,5,20,0,10,5,10,0,-1.2,60,140.0479369465395,0.0002144483180335,0.998973106600983,-0.7757,0.2377589581899
exp69,10,0,0,0,15,10,0,20,5,10,0,-1.4,90,127.83232168019326,0.0242836135578139,0.9939300965113764,-0.4267,6.2081377646424
exp70,5,5,10,10,0,5,0,5,0,15,15,-1.1,60,151.6827418300113,0.0003940493150234,0.9987780967536064,-0.8057,0.1871108197146
exp71,5,0,0,0,5,5,10,5,0,20,20,-1.4,90,152.3583755673241,0.0130220185683852,0.993913905472075,-0.5477,3.7736656661171
exp72,0,5,15,0,0,10,5,0,0,20,15,-1.2,60,102.53825006368366,0.0031934324238853,0.9992083955297724,-0.4407,2.5956056809998
exp73,25,0,0,5,0,0,5,5,5,10,15,-1.4,60,155.87396319062074,0.00022370450394,0.9989526782823168,-0.8497,1.0868244440782
exp74,15,5,5,5,0,0,15,0,15,5,5,-1.3,90,208.3255767241571,0.0009505537870787,0.999412427446394,-1.0047,0.2257822808898
exp75,0,15,5,5,0,0,0,10,5,5,25,-1.5,150,110.5595806218137,2.362318666372778e-06,0.999512710717015,-0.8327,0.147385970564
exp76,20,0,5,0,0,0,15,15,5,10,0,-1.5,150,136.22180007117254,8.936970269349709e-05,0.9952169117156312,-0.8057,0.6047230789167001
exp77,0,5,0,5,15,10,10,5,5,10,5,-1.5,60,135.69747972473814,0.0224318041002975,0.995277633809828,-0.4487,9.7549422437397
exp78,0,5,0,0,0,25,5,10,0,10,15,-1.1,90,145.58812783623392,0.0045565944842363,0.9940577916184408,-0.6037,1.8208314102144
