Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp537,0,0,0,0,8,0,8,7,7,7,33,-1.2,60,-0.4057,-0.4747,-0.5227,-0.5557,-0.5807
exp538,0,0,0,0,8,8,8,15,15,0,16,-1.5,90,-0.3187,-0.3687,-0.4027,-0.4297,-0.4527
exp539,0,0,0,8,8,0,0,0,15,0,39,-1.1,90,-0.2787,-0.3677,-0.4057,-0.4367,-0.4627
exp540,0,0,8,0,8,0,8,15,15,15,1,-1.4,180,-0.6237,-0.6457,-0.6597,-0.6697,-0.6787
exp541,8,0,8,0,8,8,0,15,15,0,8,-1.4,150,-0.6967,-0.7137,-0.7237,-0.7317,-0.7387
exp542,8,0,8,0,8,0,0,0,15,0,31,-1.5,60,-0.6837,-0.6977,-0.7077,-0.7157,-0.7217
exp543,0,0,8,0,0,8,0,7,7,7,33,-1.4,90,-0.6397,-0.6717,-0.6867,-0.6977,-0.7077
exp544,0,0,8,0,8,8,0,15,0,15,16,-1.1,60,-0.4827,-0.5327,-0.5567,-0.5727,-0.5847
exp545,8,0,0,8,0,0,8,7,7,0,32,-1.5,90,-0.6427,-0.6977,-0.7237,-0.7407,-0.7547
exp546,0,0,0,0,8,0,0,15,15,0,32,-1.1,180,-0.3217,-0.3637,-0.3907,-0.4117,-0.4297
exp547,0,0,0,8,0,0,0,15,15,0,32,-1.4,60,-0.7807,-0.7987,-0.8117,-0.8217,-0.8307
exp548,8,0,8,0,8,0,8,15,0,0,23,-1.1,90,,,,,
exp549,0,0,8,8,8,0,8,0,15,0,23,-1.4,90,,,,,
exp550,8,8,0,0,0,8,0,0,0,7,39,-1.2,60,,,,,
exp551,0,0,8,8,0,8,0,15,0,0,31,-1.4,180,-0.1437,-0.1977,0.0123,-0.3127,-0.3287
exp552,8,0,8,8,0,8,8,7,7,0,16,-1.2,150,-0.3097,-0.3657,-0.4007,-0.4277,-0.4487
exp553,0,0,8,0,0,8,8,15,15,0,16,-1.2,60,-0.4047,-0.4857,-0.5287,-0.5557,-0.5747
exp554,8,0,8,8,8,0,0,15,15,0,8,-1.2,60,-0.7177,-0.7387,-0.7497,-0.7587,-0.7667
exp555,0,0,8,8,8,8,0,0,15,0,23,-1.2,180,-0.3597,-0.4147,-0.4597,-0.4977,-0.5327
exp556,0,0,0,8,0,0,8,0,15,0,39,-1.2,180,-0.7707,-0.7997,-0.8167,-0.8307,-0.8417
