Experiment,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Tafel R^2_Ar
exp164,172.66927772030445,0.010699666981923355,0.9957454084300862
exp165,138.408846433906,0.009616212726957403,0.996373505272527
exp166,174.17192970745876,0.0013778252789059412,0.9972214596083133
exp167,161.2158996081089,0.003960878170409665,0.9954418452892115
exp168,118.51835412757804,0.011726778027083497,0.99524602668006
exp169,107.61667966726753,0.06215513716571737,0.9979079632134851
exp170,91.62071364737156,0.0021949053883497114,0.9971076248490467
exp171,118.2959679717206,0.014166212981620687,0.9960171258374815
exp172,251.8384961705096,0.027296293117108617,0.9977336900084812
exp173,143.84797308777772,0.011334533525607982,0.9986589321173914
exp174,136.68662783523087,0.005020616917015943,0.9978288369172214
exp175,169.37517941236652,0.0016823522981433822,0.9987546785718326
exp176,140.759819103494,0.00014582345688528436,0.9985660489386822
exp177,163.6482330892473,0.00026159940051933905,0.9991499184948857
exp178,142.54472634758264,0.0022288932298545226,0.9991465921548286
exp179,117.0147828126212,1.7083570091632094e-05,0.9967697237480895
exp181,118.2514388865175,0.013992741555003636,0.9887439127679698
exp182,146.92241208759637,0.001158368312226286,0.9985080114456762
exp183,113.08721265328536,1.0244249293056605e-05,0.9953510705546813
exp184,133.60795643633273,0.03215711528938651,0.9963735494635519
exp185,126.71396454224282,0.00013641076114644194,0.9958861693957273
exp186,121.95459592699386,0.00015156735685039935,0.9997780832531482
exp187,91.1322980676533,7.828234197249757e-07,0.9951485756914726
exp188,99.92480979539523,0.00446617757591076,0.993539527230678
exp189,124.44833347943604,5.382467705628798e-05,0.9938563026351629
exp190,107.39216577064454,0.017920757111528282,0.9904538977235386
exp191,105.27995496667378,1.4348741947923295e-05,0.9952015883617166
exp192,172.49285130110485,0.007922242809006436,0.9960662321926932
exp193,127.53626800390875,2.886972642441577e-05,0.9970848560156438
exp194,137.28411472528902,0.00019666696293781818,0.99398277354018
exp195,127.23638655400926,6.401183816973409e-05,0.9971955517088337
exp196,91.13068854845359,0.006503463066367952,0.9921424883697958
exp197,124.3290935241165,2.8529867139808154e-05,0.9990822453027517
exp198,161.8715114969109,0.006428286766100873,0.9998883291772162
exp199,131.11684754319873,5.5370274842516686e-05,0.9985644350464543
exp200,123.86081371836475,7.5279657845316395e-06,0.9975970205682032
exp201,127.9353107114198,0.0023611473959619855,0.9976583406727589
exp202,145.20689242095892,0.0004261311608397054,0.9998262664842217
exp203,174.53251993924977,0.03268188498683279,0.9993975766622332
exp204,135.22728044340786,0.00014841874411897706,0.997540505532593
exp205,150.55598001551874,0.00013814654274704676,0.9993171942279168
exp206,135.05044415330332,0.00028019940431302064,0.9928051331878699
exp207,294.5428768535536,1.7853107668584827,0.587745607407181
exp208,195.57585452407108,0.02287960967115831,0.9883303625435579
exp209,111.27837824847721,0.22700062987336925,0.028655256472678803
exp210,130.13319067271559,0.0035097505723589617,0.9996018295454703
exp211,123.71665925412607,7.729441700858674e-05,0.9979250128688943
exp212,151.83421962538765,0.06161659110640839,0.9940078010351328
exp213,198.78010064077213,0.08168332711961919,0.9984911287523486
exp215,191.19772777310328,0.0015438941988769675,0.9978948104370355
exp216,175.7379506709479,0.010546109860669145,0.9995794666143557
exp218,170.52312111431723,0.0034778119762336863,0.9019834139730741
exp220,169.73256856588173,0.001966630050022878,0.9972437604221471
exp221,118.97155601129514,3.530662256265713e-05,0.9936126099021972
exp222,165.99422678495506,0.0006301409704451935,0.999802957916412
exp223,100.10518833776199,0.00017316797024128782,0.9972085074459542
exp224,113.28588759107046,0.00048104844851627293,0.9682932838061974
exp226,135.99881508905997,0.008669310649420336,0.30749682678255347
exp230,92.32030483048915,7.238230602934598e-06,0.6010203703655013
exp232,122.58043474548317,2.681573834356647e-06,0.9961470075542445
exp233,178.9565908120571,0.006219803944229556,0.9462146338951016
exp234,121.63252109078063,9.805490761716848e-06,0.9954642453180803
exp235,150.48780681036712,0.00021708299258569564,0.9995094391683861
exp237,130.71998980486592,0.0004084297650769931,0.996970644670744
exp238,136.5684083220852,0.0011281490662428634,0.995942494342321
exp239,132.33981304841535,0.0006532462146906638,0.9988179269043049
exp240,175.18970839714055,0.0038485349992019397,0.9937244603173833
exp241,122.36931810878882,1.5424669079613867e-05,0.5633092063349256
exp242,114.01990753463102,2.939581980617247e-05,0.9948097001316523
exp243,123.49289265560357,0.0011016757025187527,0.99790940671825
exp244,118.25209675711027,1.0589134044854489e-05,0.9988394485253553
exp245,138.34313871525688,0.0033575073827475485,0.9972951646863261
exp246,154.7944043628982,0.00011026328980957797,0.9985572107314904
exp247,119.52058335375801,1.9335492363132338e-05,0.9940044660680845
exp249,128.0379090133368,9.271728582231545e-05,0.9959422759158852
exp252,135.9969880863849,0.0010912828804920823,0.9964176197186052
exp253,163.67569202802972,0.0009158948302603893,0.9988139270133555
exp254,149.8450232379955,0.0004437929441249265,0.9986996876297254
exp255,107.64665515952377,2.523419627122738e-05,0.9951953290128439
exp256,128.20119390154483,0.0007534341663433694,0.7225347985409997
exp258,114.38344598359222,9.990893835457627e-06,0.5209669467461328
exp259,121.3026993784314,1.8275886665817466e-05,0.9973657547022299
exp260,112.3025120699813,1.8539421178199278e-06,0.9979913255490866
exp261,116.79607855011152,0.0008488829217255653,0.9979737371084352
exp262,112.59529990475392,6.561404309450738e-06,0.9947690778253279
exp263,165.25727296335063,0.0007163913044173255,0.6568021451907621
exp265,145.70570690301406,0.00718927071976416,0.9144465014173447
