June 25, 2026   11:33:02
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp5\exp5-2026-06-25t11_32_13-arkoh\ocp_2026-06-25t11_32_43.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

4.340e+0, -5.565e-1
4.350e+0, -5.565e-1
4.360e+0, -5.565e-1
4.370e+0, -5.565e-1
4.380e+0, -5.562e-1
4.390e+0, -5.559e-1
4.400e+0, -5.556e-1
4.410e+0, -5.556e-1
4.420e+0, -5.556e-1
4.430e+0, -5.556e-1
4.440e+0, -5.553e-1
4.450e+0, -5.553e-1
4.460e+0, -5.549e-1
4.470e+0, -5.546e-1
4.480e+0, -5.546e-1
4.490e+0, -5.543e-1
4.500e+0, -5.543e-1
4.510e+0, -5.543e-1
4.520e+0, -5.543e-1
4.530e+0, -5.540e-1
4.540e+0, -5.537e-1
4.550e+0, -5.537e-1
4.560e+0, -5.534e-1
4.570e+0, -5.534e-1
4.580e+0, -5.534e-1
4.590e+0, -5.534e-1
4.600e+0, -5.531e-1
4.610e+0, -5.531e-1
4.620e+0, -5.528e-1
4.630e+0, -5.525e-1
4.640e+0, -5.525e-1
4.650e+0, -5.525e-1
4.660e+0, -5.525e-1
4.670e+0, -5.525e-1
4.680e+0, -5.522e-1
4.690e+0, -5.519e-1
4.700e+0, -5.516e-1
4.710e+0, -5.516e-1
4.720e+0, -5.516e-1
4.730e+0, -5.516e-1
4.740e+0, -5.516e-1
4.750e+0, -5.512e-1
4.760e+0, -5.512e-1
4.770e+0, -5.509e-1
4.780e+0, -5.506e-1
4.790e+0, -5.506e-1
4.800e+0, -5.506e-1
4.810e+0, -5.506e-1
4.820e+0, -5.506e-1
4.830e+0, -5.503e-1
4.840e+0, -5.500e-1
4.850e+0, -5.497e-1
4.860e+0, -5.497e-1
4.870e+0, -5.497e-1
4.880e+0, -5.497e-1
4.890e+0, -5.497e-1
4.900e+0, -5.494e-1
4.910e+0, -5.491e-1
4.920e+0, -5.491e-1
4.930e+0, -5.488e-1
4.940e+0, -5.488e-1
4.950e+0, -5.488e-1
4.960e+0, -5.488e-1
4.970e+0, -5.485e-1
4.980e+0, -5.485e-1
4.990e+0, -5.482e-1
5.000e+0, -5.479e-1
