Jan. 12, 2025   16:59:22
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp825\exp825deposition-2025-01-12t16_55_06-deposition\exp825deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 86
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.2

Results:

Channel 1:

Time/sec, Current/A

5.710e+1, 4.805e-4
5.720e+1, 4.790e-4
5.730e+1, 4.781e-4
5.740e+1, 4.767e-4
5.750e+1, 4.751e-4
5.760e+1, 4.728e-4
5.770e+1, 4.711e-4
5.780e+1, 4.699e-4
5.790e+1, 4.691e-4
5.800e+1, 4.687e-4
5.810e+1, 4.682e-4
5.820e+1, 4.682e-4
5.830e+1, 4.688e-4
5.840e+1, 4.689e-4
5.850e+1, 4.683e-4
5.860e+1, 4.681e-4
5.870e+1, 4.675e-4
5.880e+1, 4.665e-4
5.890e+1, 4.664e-4
5.900e+1, 4.680e-4
5.910e+1, 4.700e-4
5.920e+1, 4.718e-4
5.930e+1, 4.732e-4
5.940e+1, 4.738e-4
5.950e+1, 4.739e-4
5.960e+1, 4.753e-4
5.970e+1, 4.771e-4
5.980e+1, 4.790e-4
5.990e+1, 4.804e-4
6.000e+1, 4.808e-4
6.010e+1, 4.819e-4
6.020e+1, 4.834e-4
6.030e+1, 4.834e-4
6.040e+1, 4.834e-4
6.050e+1, 4.834e-4
6.060e+1, 4.831e-4
6.070e+1, 4.825e-4
6.080e+1, 4.819e-4
6.090e+1, 4.813e-4
6.100e+1, 4.826e-4
6.110e+1, 4.824e-4
6.120e+1, 4.817e-4
6.130e+1, 4.824e-4
6.140e+1, 4.831e-4
6.150e+1, 4.843e-4
6.160e+1, 4.861e-4
6.170e+1, 4.876e-4
6.180e+1, 4.892e-4
6.190e+1, 4.904e-4
6.200e+1, 4.917e-4
6.210e+1, 4.925e-4
6.220e+1, 4.921e-4
6.230e+1, 4.907e-4
6.240e+1, 4.892e-4
6.250e+1, 4.881e-4
6.260e+1, 4.873e-4
6.270e+1, 4.856e-4
6.280e+1, 4.849e-4
6.290e+1, 4.844e-4
6.300e+1, 4.840e-4
6.310e+1, 4.836e-4
6.320e+1, 4.826e-4
6.330e+1, 4.817e-4
6.340e+1, 4.800e-4
6.350e+1, 4.783e-4
6.360e+1, 4.778e-4
6.370e+1, 4.801e-4
6.380e+1, 4.837e-4
6.390e+1, 4.870e-4
6.400e+1, 4.893e-4
6.410e+1, 4.902e-4
6.420e+1, 4.896e-4
6.430e+1, 4.893e-4
6.440e+1, 4.892e-4
6.450e+1, 4.897e-4
6.460e+1, 4.923e-4
6.470e+1, 4.948e-4
6.480e+1, 4.951e-4
6.490e+1, 4.963e-4
6.500e+1, 4.975e-4
6.510e+1, 4.984e-4
6.520e+1, 5.000e-4
6.530e+1, 4.998e-4
6.540e+1, 4.994e-4
6.550e+1, 4.983e-4
6.560e+1, 4.981e-4
6.570e+1, 4.973e-4
6.580e+1, 4.981e-4
6.590e+1, 4.990e-4
6.600e+1, 4.985e-4
6.610e+1, 4.997e-4
6.620e+1, 5.003e-4
6.630e+1, 4.997e-4
6.640e+1, 4.994e-4
6.650e+1, 4.994e-4
6.660e+1, 4.994e-4
6.670e+1, 4.989e-4
6.680e+1, 4.972e-4
6.690e+1, 4.949e-4
6.700e+1, 4.937e-4
6.710e+1, 4.929e-4
6.720e+1, 4.926e-4
6.730e+1, 4.929e-4
6.740e+1, 4.936e-4
6.750e+1, 4.949e-4
6.760e+1, 4.959e-4
6.770e+1, 4.957e-4
6.780e+1, 4.945e-4
6.790e+1, 4.932e-4
6.800e+1, 4.926e-4
6.810e+1, 4.919e-4
6.820e+1, 4.922e-4
6.830e+1, 4.915e-4
6.840e+1, 4.914e-4
6.850e+1, 4.917e-4
6.860e+1, 4.911e-4
6.870e+1, 4.898e-4
6.880e+1, 4.892e-4
6.890e+1, 4.899e-4
6.900e+1, 4.908e-4
6.910e+1, 4.923e-4
6.920e+1, 4.939e-4
6.930e+1, 4.966e-4
6.940e+1, 5.014e-4
6.950e+1, 5.039e-4
6.960e+1, 5.052e-4
6.970e+1, 5.065e-4
