Jan. 14, 2025   10:18:26
Open Circuit Potential - Time
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp842\exp842-2025-01-14t10_17_38-arkoh\ocp_2025-01-14t10_18_08.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

4.410e+0, -1.005e+0
4.420e+0, -1.005e+0
4.430e+0, -1.005e+0
4.440e+0, -1.005e+0
4.450e+0, -1.005e+0
4.460e+0, -1.006e+0
4.470e+0, -1.005e+0
4.480e+0, -1.005e+0
4.490e+0, -1.005e+0
4.500e+0, -1.005e+0
4.510e+0, -1.005e+0
4.520e+0, -1.005e+0
4.530e+0, -1.006e+0
4.540e+0, -1.005e+0
4.550e+0, -1.005e+0
4.560e+0, -1.005e+0
4.570e+0, -1.005e+0
4.580e+0, -1.005e+0
4.590e+0, -1.005e+0
4.600e+0, -1.005e+0
4.610e+0, -1.006e+0
4.620e+0, -1.005e+0
4.630e+0, -1.005e+0
4.640e+0, -1.005e+0
4.650e+0, -1.005e+0
4.660e+0, -1.005e+0
4.670e+0, -1.005e+0
4.680e+0, -1.006e+0
4.690e+0, -1.005e+0
4.700e+0, -1.005e+0
4.710e+0, -1.005e+0
4.720e+0, -1.005e+0
4.730e+0, -1.005e+0
4.740e+0, -1.005e+0
4.750e+0, -1.005e+0
4.760e+0, -1.006e+0
4.770e+0, -1.005e+0
4.780e+0, -1.005e+0
4.790e+0, -1.005e+0
4.800e+0, -1.005e+0
4.810e+0, -1.005e+0
4.820e+0, -1.005e+0
4.830e+0, -1.006e+0
4.840e+0, -1.005e+0
4.850e+0, -1.005e+0
4.860e+0, -1.005e+0
4.870e+0, -1.005e+0
4.880e+0, -1.005e+0
4.890e+0, -1.005e+0
4.900e+0, -1.005e+0
4.910e+0, -1.006e+0
4.920e+0, -1.005e+0
4.930e+0, -1.005e+0
4.940e+0, -1.005e+0
4.950e+0, -1.005e+0
4.960e+0, -1.005e+0
4.970e+0, -1.005e+0
4.980e+0, -1.006e+0
4.990e+0, -1.005e+0
5.000e+0, -1.005e+0
